SYMBOL,NAME,PRICE(USD),ID,RANK,MAXSUPPLY,MARKETCAP(USD)
BTC,Bitcoin,36000.46553,bitcoin,1,21000000,6.85214E+11
ETH,Ethereum,2696.442075,ethereum,2,,3.2542E+11
USDT,Tether,1.003232632,tether,3,,83506452939
BNB,BNB,378.5765666,binance-coin,4,166801148,63147005911
USDC,USD Coin,1.003060611,usd-coin,5,,48714599403
SOL,Solana,81.813035,solana,6,,27422715924
XRP,XRP,0.595396999,xrp,7,1E+11,27033422400
ADA,Cardano,0.78098164,cardano,8,45000000000,26349561824
LUNA,Terra,72.81022924,terra-luna,9,,24913976110
UST,TerraUSD,0.99189874,terrausd,10,,18616376214
BUSD,Binance USD,1.004296,binance-usd,11,,17584964792
DOGE,Dogecoin,0.1292208,dogecoin,12,,17143822337
DOT,Polkadot,14.17572929,polkadot,13,,15728796629
AVAX,Avalanche,57.16720163,avalanche,14,,15375428582
SHIB,Shiba Inu,1.9967E-05,shiba-inu,15,,10963158225
WBTC,Wrapped Bitcoin,36070.12227,wrapped-bitcoin,16,,10211647477
TRX,TRON,0.086493502,tron,17,,8554664432
DAI,Multi Collateral DAI,1.002985282,multi-collateral-dai,18,,8471744804
MATIC,Polygon,1.056914752,polygon,19,10000000000,8295582857
NEAR,NEAR Protocol,10.69383205,near-protocol,20,1000000000,7261429517
CRO,Crypto.com Coin,0.278988089,crypto-com-coin,21,30263013692,7048079917
LTC,Litecoin,96.52646243,litecoin,22,84000000,6779529455
BCH,Bitcoin Cash,277.5123485,bitcoin-cash,23,21000000,5288596186
UNI,Uniswap,7.495483633,uniswap,24,1000000000,5176863812
ALGO,Algorand,0.763768707,algorand,25,10000000000,5143200501
LINK,Chainlink,10.69866528,chainlink,26,1000000000,4996378851
LEO,UNUS SED LEO,5.233124743,unus-sed-leo,27,,4992160962
FTT,FTX Token,35.84755056,ftx-token,28,352170015,4902845922
XLM,Stellar,0.17177616,stellar,29,50001806812,4259662518
ATOM,Cosmos,17.1046791,cosmos,30,,4249712273
XMR,Monero,209.8431455,monero,31,,3801924834
BTCB,Bitcoin BEP2,35903.3125,bitcoin-bep2,32,,3773858924
ETC,Ethereum Classic,27.92251994,ethereum-classic,33,210700000,3759835105
VET,VeChain,0.046940384,vechain,34,86712634466,3018997861
ICP,Internet Computer,12.51158139,internet-computer,35,,2837370072
FIL,Filecoin,13.75715961,filecoin,36,,2753534663
FRAX,Frax,1.010813765,frax,37,,2665232464
EGLD,Elrond,121.5703542,elrond-egld,38,31415926,2662634188
MANA,Decentraland,1.423351145,decentraland,39,,2624799576
SAND,The Sandbox,2.011192255,the-sandbox,40,3000000000,2468818495
XTZ,Tezos,2.629647801,tezos,41,,2350293610
CAKE,PancakeSwap,7.47832858,pancakeswap,42,,2210199042
DFI,DeFiChain,4.307055144,defichain,43,1200000000,2199777423
THETA,THETA,2.199772157,theta,44,1000000000,2199772157
RUNE,THORChain,6.081535917,thorchain,45,500000000,2011091322
EOS,EOS,2.032809057,eos,46,,2010150034
HBAR,Hedera Hashgraph,0.134029712,hedera-hashgraph,47,50000000000,1988030025
AAVE,Aave,137.8938105,aave,48,16000000,1890873726
KLAY,Klaytn,0.662756377,klaytn,49,,1853945086
FTM,Fantom,0.711871099,fantom,50,3175000000,1811716413
AXS,Axie Infinity,29.31589242,axie-infinity,51,270000000,1785557718
HNT,Helium,14.58290209,helium,52,223000000,1708876260
ZEC,Zcash,118.4265134,zcash,53,21000000,1697367988
KCS,KuCoin Token,17.01280835,kucoin-token,54,170118638,1673717720
FLOW,Flow,4.452204355,flow,55,,1620874544
WAVES,Waves,13.87997598,waves,56,,1501848073
HT,Huobi Token,9.301859775,huobi-token,57,500000000,1443881772
CVX,Convex Finance,23.39178503,convex-finance,58,100000000,1418364918
GRT,The Graph,0.298860681,the-graph,59,10057044431,1409347835
MIOTA,IOTA,0.497151038,iota,60,2779530283,1381846365
BSV,Bitcoin SV,72.19499715,bitcoin-sv,61,21000000,1375520119
XEC,eCash,7.12202E-05,ecash,62,2.1E+13,1356969839
TUSD,TrueUSD,1.003593778,trueusd,63,,1303388044
MKR,Maker,1325.148782,maker,64,1005577,1295506578
NEO,Neo,16.95162335,neo,65,100000000,1195747694
TTT,TrustNote,3.786169972,trustnote,66,,1173712483
STX,Stacks,0.848918269,stacks,67,1818000000,1113371147
NEXO,Nexo,1.958928364,nexo,68,1000000000,1096999905
QNT,Quant,89.35856305,quant,69,14612493,1078802520
CRV,Curve DAO Token,2.329508528,curve-dao-token,70,3303030299,1074238835
OKB,OKB,17.38405192,okb,71,,1043043115
CHZ,Chiliz,0.17340992,chiliz,72,8888888888,1040525229
KSM,Kusama,122.3380485,kusama,73,,1036215267
CELO,Celo,2.332964093,celo,74,1000000000,1024618452
ZIL,Zilliqa,0.07893769,zilliqa,75,21000000000,1006518445
GALA,Gala,0.139306063,gala,76,,971967018.5
LDO,Lido DAO,3.050872369,lido-dao,77,1000000000,954774028.4
LRC,Loopring,0.717576716,loopring,78,1374513896,954225344.1
USDP,Pax Dollar,1.002699191,paxos-standard,79,,948195410.9
DASH,Dash,86.60933635,dash,80,18900000,927860744.1
ONE,Harmony,0.076323197,harmony,81,,920099353.6
ENJ,Enjin Coin,1.036121515,enjin-coin,82,1000000000,917744586
MINA,Mina,1.782503814,mina,83,,876303116.8
BAT,Basic Attention Token,0.575055976,basic-attention-token,84,1500000000,861454695.9
XDC,XinFin Network,0.063591155,xinfin-network,85,,781744729.9
AMP,Amp,0.018071722,amp,86,92547638199,763127274.9
XEM,NEM,0.082466962,nem,87,8999999999,742202655.1
DCR,Decred,51.86017667,decred,88,21000000,725983861.5
KAVA,Kava,3.827082924,kava,89,,718914986
AR,Arweave,21.12391942,arweave,90,66000000,705426973.1
HOT,Holo,0.004005781,holo,91,,694223580.2
COMP,Compound,102.1666937,compound,92,10000000,688478369.9
TFUEL,Theta Fuel,0.1206045,theta-fuel,93,,639350313
PAXG,PAX Gold,1893.679772,pax-gold,94,,623447296.8
YFI,yearn.finance,16940.62205,yearn-finance,95,36666,620665788.1
KDA,Kadena,3.526259732,kadena,96,1000000000,604004570.4
ZRX,0x,0.701234252,0x,97,1000000000,594293261.9
KNC,Kyber Network,2.803411392,kyber-network,98,226000000,574825747.1
CCXX,Counos X,31.9854898,counos-x,99,21000000,572999691.7
ICX,ICON,0.622309976,icon,100,,572203503.2
